"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Apr 22 13:51:54 CST 2020","Wed Apr 22 13:51:54 CST 2020","0","test_case","test_case_01","","","","test_2",""
"passed","Wed Apr 22 13:51:55 CST 2020","Wed Apr 22 13:51:55 CST 2020","0","test_case","test_case_01","","","","test_3",""
"passed","Wed Apr 22 13:51:54 CST 2020","Wed Apr 22 13:51:54 CST 2020","0","test_case","test_case_01","","","","test_1",""
